# Duplicate, suite, and campus review

Suite observations and ambiguous campuses are never auto-promoted as buildings.

| Market | Property | Municipality | Conflicts | Legacy IDs |
| sacramento | 20 015 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1726539, 1748729, 1762940, 1969676 |
| sacramento | 20 025 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1726540, 1748730, 1790994, 1917503 |
| sacramento | 20 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1713188, 1713189 |
| sacramento | 2006 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1049124, 1101529 |
| sacramento | 2015 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1049125, 1101530 |
| sacramento | 2019 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1362740, 1388712 |
| sacramento | 2202 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 128926, 114440 |
| sacramento | 2235 cemo cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1569808, 1618192 |
| sacramento | 2246 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 495942, 114438 |
| sacramento | 2310 2343 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1748697, 1892205, 1822515, 1969790 |
| sacramento | 2310 2350 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1729944, 1740757, 1752721 |
| sacramento | 2310 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1537703, 114482 |
| sacramento | 2374 gold river rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137537, 401717 |
| sacramento | 2378 gold river rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 138995, 147879 |
| sacramento | 2540 grennan ct | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 628164, 1720888 |
| sacramento | 2640 mercantile dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 111690, 403023, 513222 |
| sacramento | 2650 mercantile dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 140827, 557781 |
| sacramento | 2800 2868 zinfandel dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1969793, 1748699, 1730448, 1741261, 1753225, 1822518, 1892209 |
| sacramento | 2800 zinfandel dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1546958, 114875 |
| sacramento | 2828 mills park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1578459, 1606497 |
| sacramento | 2901 2931 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1730552, 1741365, 1753329, 1748700 |
| sacramento | 2901 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1538214, 114895 |
| sacramento | 3054 3068 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1730770, 1741583, 1753732, 1969795, 1748701, 1822519, 1892211 |
| sacramento | 3054 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137587, 1556076 |
| sacramento | 3075 prospect park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 111700, 2072118 |
| sacramento | 3078 prospect park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1762941, 1790996, 1917507, 1969679, 2057005 |
| sacramento | 3127 fite cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1969797, 1748703, 1822521, 1892213 |
| sacramento | 3145 gold valley dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1101534, 1127583 |
| sacramento | 3187 3231 zinfandel dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1770504, 1868128, 1892269, 1931516 |
