Municipality conflicts — ranked review queue

Every listed record remains blocked from target-city geography promotion. Classification covers all 2442 conflicts; this concise queue shows up to 50 per pilot.

| Market | Property | Municipality | Classification | Promotion blocked | Legacy IDs |
| orlando | 0 park pond way | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 2035764, 1771671, 1772450, 1791189, 1791205, 1812154, 1822893, 1833271, 1844410, 1856186, 1868260, 1880512, 1892956, 1905464, 1918274, 1931701, 1956607, 1978913, 2050879, 1992713, 2007232, 2021144, 2047541, 2054352, 2057218, 2060135, 2063073, 2066408, 2069384, 2072340, 2075336, 2078276, 2081590, 2084938, 2087921, 2090944, 2094035, 2127268, 2097408, 2100545, 2103804, 2111911, 2121613, 2130222, 2133294, 2136322, 2139217, 2142563, 2145435, 2148372, 2151224, 2154317, 2157267, 2159852, 1945118 |
| orlando | 0 puerta del sol blvd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1160237, 1175102, 1190428, 1206850, 1222531, 1239178, 1256647, 1273563, 1291221, 1308717, 1326765, 1344829, 1369502, 1389593, 1408921, 1429831, 1450316, 1471097, 1492229, 1514878, 1535298, 1544016, 1552896, 1561583, 1569997, 1578606, 1587837, 1597177, 1607565, 1618331, 1627912, 1638144, 1648303, 1658815, 1669699, 1680429, 1691705, 1702590, 1714057, 1721702, 1726775, 1737589, 1749553, 1771675, 1772456, 1791196, 1791210, 1812158, 1822897, 1833274, 1844413, 1856189, 1868263, 1880516, 1892960, 1905468, 1918278, 1931705, 1956611, 1978917, 1992717, 2007236, 2021148, 2035768, 2047545, 2050883, 2054356, 2057222, 2060138, 2063076, 2066411, 2069387, 2072343, 2075339, 2078279, 2081593, 2084941, 2087924, 2090947, 2094038, 2097411, 2100548, 2121616, 2127271, 2130225, 2133297, 2136325, 2139220, 2142566, 2145438, 2148375, 2151227, 2154320, 2157270, 2159855 |
| orlando | 0 thyme dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1535314, 1544032, 1552912, 1561599, 1570012, 1578621, 1587853, 1597193, 1607581, 1618349, 1627930, 1638161, 1648322, 1658834, 1669718, 1680449, 1691725, 1702610, 1714077, 1721722, 1726795, 1737609, 1749573 |
| orlando | 000 ham brown road2 miles s of 17 92 | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 182084 |
| orlando | 1000 kevstin dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 636935, 915651 |
| orlando | 1000 shady ln | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 446725 |
| orlando | 1001 armstrong blvd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1535468, 1544193 |
| orlando | 1001 w oak st | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 274363 |
| orlando | 1007 w emmett st | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 366623 |
| orlando | 1009 jeater crescent st | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 661357 |
| orlando | 1009 shawnda ln | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 661394 |
| orlando | 1009 siena park blvd e | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 661395 |
| orlando | 101 e dakin ave | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 446764 |
| orlando | 101 w cypress st | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 378239, 378230 |
| orlando | 1011 siena park blvd e | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 662289 |
| orlando | 1012 1038 buenaventura blvd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1905055, 2006940 |
| orlando | 1012 buenaventura blvd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 2047068 |
| orlando | 1012 castle pines ct | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 662373 |
| orlando | 1013 siena park blvd e | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 662552 |
| orlando | 1015 siena park blvd e | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 662787 |
| orlando | 103 broadway | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 479611, 366678 |
| orlando | 103 e dakin ave | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 387036 |
| orlando | 1031 coatbridge dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 665145 |
