city,state_abbr,county,lat,lng,population,zips,building_count,tier,slug,label,city_state_slug,path,source,officefinder_code,incorporated,cdp,ranking,simplemaps_matched,is_new_candidate
Horsham,PA,Montgomery County,40.1993,-75.1665,26970,19044 19040 19002,0,3,horsham,"Horsham, PA",horsham-pa,/commercial-real-estate/PA/horsham/,officefinder+simplemaps,2058,FALSE,FALSE,3,true,true
Jenkintown,PA,Montgomery County,40.0962,-75.1296,4727,19046,1,3,jenkintown,"Jenkintown, PA",jenkintown-pa,/commercial-real-estate/PA/jenkintown/,rofo,,,,,true,
King Of Prussia,PA,Montgomery County,40.0963,-75.3821,25857,19406 19484,1,3,king-of-prussia,"King Of Prussia, PA",king-of-prussia-pa,/commercial-real-estate/PA/king-of-prussia/,rofo,,,,,true,
Kittanning,PA,Armstrong County,40.8279,-79.5233,3902,16201,0,3,kittanning,"Kittanning, PA",kittanning-pa,/commercial-real-estate/PA/kittanning/,officefinder+simplemaps,2507,TRUE,FALSE,3,true,true
Langhorne,PA,Bucks County,40.1777,-74.9212,1657,19047 19048 19049,0,3,langhorne,"Langhorne, PA",langhorne-pa,/commercial-real-estate/PA/langhorne/,officefinder+simplemaps,2586,TRUE,FALSE,3,true,true
Latrobe,PA,Westmoreland County,40.3125,-79.3825,7977,15650,0,3,latrobe,"Latrobe, PA",latrobe-pa,/commercial-real-estate/PA/latrobe/,officefinder+simplemaps,2510,TRUE,FALSE,3,true,true
Malvern,PA,Chester County,40.0329,-75.5146,3435,19355,0,3,malvern,"Malvern, PA",malvern-pa,/commercial-real-estate/PA/malvern/,officefinder+simplemaps,365,TRUE,FALSE,3,true,true
McKees Rocks,PA,Allegheny County,40.4688,-80.063,5786,15136,0,3,mckees-rocks,"McKees Rocks, PA",mckees-rocks-pa,/commercial-real-estate/PA/mckees-rocks/,officefinder+simplemaps,2512,TRUE,FALSE,2,true,true
Newtown,PA,Bucks County,40.2289,-74.9323,2224,18940,1,3,newtown,"Newtown, PA",newtown-pa,/commercial-real-estate/PA/newtown/,rofo,,,,,true,
Newtown Square,PA,Delaware County,39.9868,-75.401,,19073,1,3,newtown-square,"Newtown Square, PA",newtown-square-pa,/commercial-real-estate/PA/newtown-square/,rofo,,,,,true,
Philadelphia,PA,Philadelphia County,39.9526,-75.1652,5782653,19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19108 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130 19019 19092 19093 19101 19105 19110 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255,1258,1,philadelphia,"Philadelphia, PA",philadelphia-pa,/commercial-real-estate/PA/philadelphia/,rofo,,,,,true,
