code,raw_market,state_abbr,market_name,classification,confidence,reason,parent_city,child_submarket,slug,matched,rofo_city,rofo_slug,rofo_lat,rofo_lng,rofo_path
1281,HI - East Oahu,HI,East Oahu,city,medium,default_city,,,east-oahu,false,,,,,
1286,HI - Leeward Oahu,HI,Leeward Oahu,city,medium,default_city,,,leeward-oahu,false,,,,,
147,HI - Maui,HI,Maui,city,medium,default_city,,,maui,false,,,,,
1287,HI - Windward Oahu,HI,Windward Oahu,city,medium,default_city,,,windward-oahu,false,,,,,
518,IA - Bettendorf,IA,Bettendorf,city,medium,default_city,,,bettendorf,false,,,,,
1384,IA - Council Bluffs,IA,Council Bluffs,city,medium,default_city,,,council-bluffs,false,,,,,
2676,ID - Coeur D'Alene,ID,Coeur D'Alene,city,medium,default_city,,,coeur-d-alene,false,,,,,
2661,ID - Treasire Valley,ID,Treasire Valley,city,medium,default_city,,,treasire-valley,false,,,,,
1140,IL - Addison,IL,Addison,city,medium,default_city,,,addison,false,,,,,
1197,IL - Bannockburn,IL,Bannockburn,city,medium,default_city,,,bannockburn,false,,,,,
2600,IL - Bedford Park,IL,Bedford Park,city,medium,default_city,,,bedford-park,false,,,,,
1164,IL - Bloomingdale,IL,Bloomingdale,city,medium,default_city,,,bloomingdale,false,,,,,
614,IL - Burr Ridge,IL,Burr Ridge,city,medium,default_city,,,burr-ridge,false,,,,,
2523,IL - Cicero,IL,Cicero,city,medium,default_city,,,cicero,false,,,,,
1165,IL - Crystal Lake,IL,Crystal Lake,city,medium,default_city,,,crystal-lake,false,,,,,
1173,IL - Darien,IL,Darien,city,medium,default_city,,,darien,false,,,,,
2198,IL - East Moline,IL,East Moline,city,medium,default_city,,,east-moline,false,,,,,
1194,IL - Elk Grove,IL,Elk Grove,city,medium,default_city,,,elk-grove,false,,,,,
2385,IL - Evergreen Park,IL,Evergreen Park,city,medium,default_city,,,evergreen-park,false,,,,,
1176,IL - Glen Ellyn,IL,Glen Ellyn,city,medium,default_city,,,glen-ellyn,false,,,,,
1202,IL - Gurnee,IL,Gurnee,city,medium,default_city,,,gurnee,false,,,,,
2500,IL - Hillside,IL,Hillside,city,medium,default_city,,,hillside,false,,,,,
1177,IL - Hinsdale,IL,Hinsdale,city,medium,default_city,,,hinsdale,false,,,,,
2171,IL - I-88 East West Corridor,IL,I-88 East West Corridor,submarket,high,city_submarket_pattern,I,88 East West Corridor,i-88-east-west-corridor,false,,,,,
1206,IL - Lincolnshire,IL,Lincolnshire,city,medium,default_city,,,lincolnshire,false,,,,,
1207,IL - Lincolnwood,IL,Lincolnwood,city,medium,default_city,,,lincolnwood,false,,,,,
1179,IL - Lombard,IL,Lombard,city,medium,default_city,,,lombard,false,,,,,
924,IL - Moline,IL,Moline,city,medium,default_city,,,moline,false,,,,,
1208,IL - Morton Grove,IL,Morton Grove,city,medium,default_city,,,morton-grove,false,,,,,
1168,IL - Mount Prospect,IL,Mount Prospect,city,medium,default_city,,,mount-prospect,false,,,,,
1209,IL - Mundenlein,IL,Mundenlein,city,medium,default_city,,,mundenlein,false,,,,,
1211,IL - Northfield,IL,Northfield,city,medium,default_city,,,northfield,false,,,,,
1188,IL - Oak Lawn,IL,Oak Lawn,city,medium,default_city,,,oak-lawn,false,,,,,
